Symbol,AAPL M5,AAPL M5,AAPL M5,AAPL M5,AAPL M5,AAPL,AAPL,AAPL,AAPL,AAPL,Indicators,Indicators,Indicators,Indicators
Value,Open,High,Low,Close,Volume,Spread,LB,SS,LS,SB,Env_L,Env_H,Wick,StDv*2
Datetime,,,,,,,,,,,,,,
2020-08-10 09:30:00-04:00,450.4,451.96,449.89,451.08,3806795,0.0,,,,,449.7002,452.13944999999995,2.069999999999993,
2020-08-10 09:35:00-04:00,451.07,453.12,451.01,452.38,1512286,0.0,,,,,450.30615500000005,452.73038999999994,2.1100000000000136,
2020-08-10 09:40:00-04:00,452.4,454.98,452.35,454.69,1593656,0.0,,,,,451.1870332223147,453.42121411323893,2.6299999999999955,
2020-08-10 09:45:00-04:00,454.73,455.1,451.83,451.93,1461814,0.0,,,,,451.659744563591,453.61403687655854,3.2700000000000387,
2020-08-10 09:50:00-04:00,451.9,452.74,449.71,450.77,1483560,0.0,,,,,451.373479394553,453.2135886890065,3.0300000000000296,
2020-08-10 09:55:00-04:00,450.77,450.98,447.86,449.71,1387804,0.0,,,,,450.81479231339483,452.5566160282452,3.1200000000000045,
2020-08-10 10:00:00-04:00,449.75,450.45,448.93,449.54,915682,0.0,,,,,450.31997438846685,452.2953204584649,1.5199999999999818,
2020-08-10 10:05:00-04:00,449.58,450.74,449.01,449.17,785719,0.0,,,,,450.00301455659167,452.11550448257873,1.7300000000000182,
2020-08-10 10:10:00-04:00,449.14,450.58,448.8,449.67,609861,0.0,,,,,449.7341896668918,451.94362992417166,1.7799999999999727,
2020-08-10 10:15:00-04:00,449.72,450.04,448.77,449.49,554097,0.0,,,,,449.4413814308719,451.80361312398026,1.2700000000000387,
2020-08-10 10:20:00-04:00,449.5,449.62,446.29,447.18,1011932,0.0,,,,,449.1460812792399,451.3352719957471,3.329999999999984,
2020-08-10 10:25:00-04:00,447.18,447.99,446.77,447.68,587287,0.0,,,,,448.68344620469225,451.0176666793891,1.2200000000000273,
2020-08-10 10:30:00-04:00,447.68,448.61,447.21,448.35,517258,0.0,,,,,448.3803001750929,450.81199858658414,1.400000000000034,
2020-08-10 10:35:00-04:00,448.31,449.45,447.4,447.5,641462,0.0,,,,,448.2315022775017,450.6635231134753,2.0500000000000114,
2020-08-10 10:40:00-04:00,447.51,448.13,446.46,446.67,614455,0.0,,,,,447.94447607974894,450.4219535619914,1.670000000000016,
2020-08-10 10:45:00-04:00,446.65,446.88,443.95,444.87,1253418,0.0,,,,,447.5509523598274,449.9147071777302,2.930000000000007,
2020-08-10 10:50:00-04:00,444.8,445.29,442.18,444.06,1082683,0.0,,,,,447.0282218446039,449.2712474786714,3.1100000000000136,
2020-08-10 10:55:00-04:00,444.01,444.15,441.22,441.36,929403,0.0,,,,,446.44661000613434,448.604523465517,2.92999999999995,
2020-08-10 11:00:00-04:00,441.32,443.49,440.0,443.23,1348243,0.0,,,,,445.86733888296123,447.88749360949294,3.490000000000009,
2020-08-10 11:05:00-04:00,443.27,444.99,443.01,444.86,841323,0.0,,,,,445.525727882099,447.5943165197726,1.9800000000000182,
2020-08-10 11:10:00-04:00,444.87,445.89,443.91,445.36,932211,0.0,,,,,445.3233532095245,447.4353870966425,1.9799999999999613,
2020-08-10 11:15:00-04:00,445.37,446.7,445.02,445.73,884355,0.0,,,,,445.2316002766964,447.4150109120146,1.6800000000000068,
2020-08-10 11:20:00-04:00,445.74,446.06,444.69,445.61,689796,0.0,,,,,445.08324006624076,447.3619317567424,1.3700000000000045,
2020-08-10 11:25:00-04:00,445.61,446.68,445.43,445.79,682956,0.0,,,,,445.0165717696377,447.39284670923723,1.25,
2020-08-10 11:30:00-04:00,445.79,446.88,445.32,446.37,594583,0.0,,,,,444.9780888374771,447.40879637964923,1.5600000000000023,
2020-08-10 11:35:00-04:00,446.38,446.61,445.84,445.92,392223,0.0,,,,,444.9162548424038,447.4767264345073,0.7700000000000387,
2020-08-10 11:40:00-04:00,445.96,446.32,445.33,445.35,380321,0.0,,,,,444.83174476474494,447.4848852884279,0.9900000000000091,
2020-08-10 11:45:00-04:00,445.34,446.45,444.92,446.27,479000,0.0,,,,,444.76949233464285,447.4503840396405,1.5299999999999727,
2020-08-10 11:50:00-04:00,446.28,448.14,446.23,447.83,728747,0.0,,,,,444.8833423137673,447.5522382640497,1.9099999999999682,
2020-08-10 11:55:00-04:00,447.86,449.1,447.81,448.24,729814,0.0,,,,,445.08088194279,447.8024563300643,1.2900000000000205,
2020-08-10 12:00:00-04:00,448.29,449.55,448.29,449.47,638732,0.0,,,,,445.30239396081805,448.0745881332796,1.259999999999991,
2020-08-10 12:05:00-04:00,449.49,450.18,448.0,449.55,889248,0.0,,,,,445.5631573830488,448.2895570717456,2.180000000000007,
2020-08-10 12:10:00-04:00,449.58,449.63,448.55,448.57,497965,0.0,,,,,445.7429804048321,448.5370599825014,1.079999999999984,
2020-08-10 12:15:00-04:00,448.6,449.7,448.6,449.32,436105,0.0,,,,,445.9112979464844,448.7642333529683,1.099999999999966,
2020-08-10 12:20:00-04:00,449.32,449.71,447.77,447.85,541558,0.0,,,,,446.06351461329706,448.886448071867,1.9399999999999977,
2020-08-10 12:25:00-04:00,447.9,448.76,447.87,448.05,358250,0.0,,,,,446.1078348686427,449.0061765351875,0.8899999999999864,
2020-08-10 12:30:00-04:00,448.07,448.5,447.24,448.16,433475,0.0,,,,,446.12244888674763,449.05207187074245,1.259999999999991,
2020-08-10 12:35:00-04:00,448.17,449.1,448.02,448.48,440294,0.0,,,,,446.1937582343506,449.16974630115277,1.080000000000041,
2020-08-10 12:40:00-04:00,448.47,450.12,448.42,449.96,556386,0.0,,,,,446.3566292722133,449.31480188568895,1.6999999999999886,
2020-08-10 12:45:00-04:00,449.95,451.09,449.88,450.68,661189,0.0,,,,,446.59700977161305,449.587843106395,1.2099999999999795,
2020-08-10 12:50:00-04:00,450.66,451.14,450.01,451.1,467248,0.0,,,,,446.81850516835163,449.84661285879497,1.1299999999999955,
2020-08-10 12:55:00-04:00,451.14,451.87,450.7,450.74,573902,0.0,,,,,447.08845765217916,450.1469955220557,1.170000000000016,
2020-08-10 13:00:00-04:00,450.75,451.02,449.86,450.27,442709,0.0,,,,,447.2503070239893,450.3364429835018,1.1599999999999682,
2020-08-10 13:05:00-04:00,450.28,451.84,450.14,451.84,474204,0.0,,,,,447.47500734628625,450.5345093233018,1.6999999999999886,
2020-08-10 13:10:00-04:00,451.85,451.9,450.5,450.64,371871,0.0,,,,,447.68355278799135,450.74811053066526,1.3999999999999773,
2020-08-10 13:15:00-04:00,450.6,451.18,449.66,450.56,374167,0.0,,,,,447.80289515479893,450.85972237088816,1.5199999999999818,
2020-08-10 13:20:00-04:00,450.58,451.34,450.12,451.14,325534,0.0,,,,,447.92595333997286,451.0049310209141,1.2199999999999704,
2020-08-10 13:25:00-04:00,451.13,451.32,450.55,451.06,297161,0.0,,,,,448.0351768817006,451.1775669459047,0.7699999999999818,
2020-08-10 13:30:00-04:00,451.07,451.3,449.84,449.9,345452,0.0,,,,,448.131925158736,451.2650378425563,1.4600000000000364,
2020-08-10 13:35:00-04:00,449.88,450.84,449.83,450.42,303307,0.0,,,,,448.17544333621817,451.3430960959271,1.009999999999991,
2020-08-10 13:40:00-04:00,450.42,450.52,449.92,450.02,197078,0.0,,,,,448.1842546056303,451.42229153722974,0.5999999999999659,
2020-08-10 13:45:00-04:00,450.05,450.23,449.2,449.36,378125,0.0,,,,,448.16458421919197,451.424561956742,1.0300000000000296,
2020-08-10 13:50:00-04:00,449.39,450.25,449.34,450.23,288086,0.0,,,,,448.1487116040647,451.44008079700706,0.910000000000025,
2020-08-10 13:55:00-04:00,450.24,450.49,449.16,449.95,356881,0.0,,,,,448.15721061755045,451.4368012132978,1.329999999999984,
2020-08-10 14:00:00-04:00,449.95,451.28,449.62,450.93,449882,0.0,,,,,448.2400609317245,451.4780450705115,1.6599999999999682,
2020-08-10 14:05:00-04:00,450.91,451.05,450.32,450.33,249624,0.0,,,,,448.2930836184727,451.5825779048223,0.7300000000000182,
