BHP
BKR
BP
BPCL.NS
CL=F
CNA.L
CNQ
COP
CVX
E
EC
EC
ELPE.AT
ENGI.PA
EOG
EPD
EQNR
GPRK
HAL
HINDPETRO.NS
IOC.NS
JXHLY
LUKOY
MOH.AT
MPC
OGZPY
OMV.VI
ONGC.NS
ORUK.IL
OXY
PBR
PKY1.F
PSX
PTR
RDS-B
RELIANCE.NS
REP.MC
ROSN.ME
SHI
SLB
SNP
SU
TOT
TS
VIST
VLO
WFTLF
WMB
XOM
YPF
