Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,109.620003,111.0,109.370003,110.470001,110.470001,7527400
2017-01-04,111.059998,111.220001,110.610001,110.860001,110.860001,4904100
2017-01-05,112.160004,112.940002,112.07,112.58000200000001,112.58000200000001,9606800
2017-01-06,111.809998,112.379997,111.57,111.75,111.75,7686100
2017-01-09,112.389999,113.040001,112.18,112.66999799999999,112.66999799999999,5353200
2017-01-10,112.940002,113.449997,112.639999,113.150002,113.150002,6093400
2017-01-11,112.870003,114.190002,112.16999799999999,113.5,113.5,9918700
2017-01-12,114.519997,114.93,113.809998,113.910004,113.910004,8457300
2017-01-13,113.650002,114.309998,113.190002,114.209999,114.209999,7261500
2017-01-17,115.889999,115.959999,115.5,115.849998,115.849998,9108900
2017-01-18,115.739998,115.91999799999999,114.559998,114.870003,114.870003,6498100
2017-01-19,114.32,114.959999,113.940002,114.769997,114.769997,6437000
2017-01-20,114.650002,115.760002,114.32,115.050003,115.050003,12261500
2017-01-23,115.510002,116.16999799999999,115.199997,115.790001,115.790001,6373100
2017-01-24,115.690002,116.019997,114.940002,115.269997,115.269997,5798800
2017-01-25,114.139999,114.440002,113.68,114.32,114.32,6697500
2017-01-26,113.239998,113.510002,112.83000200000001,113.260002,113.260002,5390500
2017-01-27,112.93,113.550003,112.809998,113.489998,113.489998,6706600
2017-01-30,113.610001,114.300003,113.540001,113.970001,113.970001,7687800
2017-01-31,115.269997,115.82,115.18,115.550003,115.550003,10421900
2017-02-01,114.660004,115.449997,114.139999,115.199997,115.199997,6932900
2017-02-02,116.260002,116.57,115.629997,115.839996,115.839996,7189500
2017-02-03,115.730003,116.370003,115.709999,116.129997,116.129997,9455500
2017-02-06,117.07,117.739998,116.739998,117.699997,117.699997,8547800
2017-02-07,117.309998,117.739998,117.199997,117.459999,117.459999,8621000
2017-02-08,118.089996,118.589996,117.809998,118.190002,118.190002,9633400
2017-02-09,118.190002,118.58000200000001,117.199997,117.290001,117.290001,8177200
2017-02-10,116.68,117.860001,116.66999799999999,117.599998,117.599998,9072100
2017-02-13,116.730003,116.949997,116.150002,116.800003,116.800003,7354900
2017-02-14,117.510002,117.559998,116.379997,116.93,116.93,6920800
2017-02-15,116.33000200000001,117.480003,116.25,117.449997,117.449997,7088400
2017-02-16,117.93,118.349998,117.83000200000001,118.08000200000001,118.08000200000001,6378700
2017-02-17,118.190002,118.400002,117.620003,117.68,117.68,7338100
2017-02-21,117.040001,118.0,116.769997,117.75,117.75,6166900
2017-02-22,117.860001,118.019997,117.239998,117.910004,117.910004,6057200
2017-02-23,118.760002,119.160004,118.68,118.940002,118.940002,7523300
2017-02-24,119.739998,119.879997,119.25,119.699997,119.699997,9809000
2017-02-27,119.730003,120.400002,119.120003,119.120003,119.120003,9263500
2017-02-28,119.709999,119.839996,118.82,119.230003,119.230003,8727800
2017-03-01,117.980003,119.120003,117.949997,119.059998,119.059998,8679600
2017-03-02,117.760002,118.339996,117.230003,117.58000200000001,117.58000200000001,10986300
2017-03-03,116.949997,117.730003,116.440002,117.510002,117.510002,10665800
2017-03-06,117.349998,117.349998,116.629997,116.720001,116.720001,4883500
2017-03-07,116.129997,116.25,115.620003,115.779999,115.779999,6846300
2017-03-08,114.989998,115.360001,114.949997,115.059998,115.059998,7620900
2017-03-09,114.779999,115.029999,114.410004,114.470001,114.470001,6410900
2017-03-10,114.449997,114.730003,114.129997,114.720001,114.720001,7929500
2017-03-13,114.629997,114.910004,114.510002,114.739998,114.739998,5807400
2017-03-14,114.540001,115.010002,114.029999,114.120003,114.120003,5301800
